name,bouts,KO %
MARIANO JORGE BERTOLA,4,0
ARTUR BETERBIEV,15,93.8
MELIO BETTINA,100,36
MICKEY BEY,26,37
BOBBY BICKLE,53,51.9
VICTOR BISBAL,26,61.5
JIMMY BIVINS,112,27.7
DMITRY BIVOL,17,64.7
LENNOX BLACKMOORE,30,46.7
ALEX BLANCHARD,48,68.8
NICOLAS BLANCO,3,0
CRISTIAN BLANCO,1,0
WALTER BLANCO,5,20
JUAN SERGIO BOADA,1,0
RODNEY BOBICK,44,40.9
DOMINIC BOESEL,31,36.4
MATIAS BOGADO,2,0
KENNY BOGNER,28,57.1
TOM BOGS,86,28.7
SERHII BOHACHUK,1,100
GABRIEL BOISE,5,40
BOGLARKA BOJER,2,0
NELSON BOLANOS,42,54.8
ENRIQUE BOLANOS,106,41.5
CESAR BOLANOS RODRIGUEZ,1,0
FRANCISCO BOLIVAR,21,28.6
RICARDS BOLOTNIKS,8,37.5
ALAN BONCAMPAGNI,2,0
LARRY BONDS,37,29.7
MARTIN NAHUEL BONISCONTRO,1,0
EDDIE BOOKER,79,43
ERIC BOON,119,51.7
TONY BOOTH,166,7.2
WILLIE BOOTH,46,15.2
LUCAS IGNACIO BORGES,1,0
SILVIA BORTOT,2,50
JAMESON BOSTIC,28,46.4
JOHNNY BOUDREAUX,27,25.9
RIDDICK BOWE,44,73.3
SAM BOWEN,15,66.7
MELTON BOWEN,44,63.6
LORENZO BOYD,85,20
TIMOTHY BRADLEY,36,35.1
JUERGEN BRAEHMER,53,67.9
LIVINGSTONE BRAMBLE,69,36.2
ROB BRANT,27,60.7
CARMEN BRATSCHI,2,0
JOHNNY BRATTON,87,39.1
DOMINIC BREAZEALE,22,81.8
COBIA BREEDY,1,0
MARK BRELAND,39,64.1
MAIRIS BRIEDIS,27,67.9
SHANNON BRIGGS,67,77.9
KEITH BRISTOL,34,30.6
JACK BRITTON,342,8.7
KEVIN BRIZUELA,2,100
JAMES BROCK,57,7
ADRIEN BRONER,38,61.5
KELL BROOK,42,64.3
LOU BROUILLARD,135,42.2
JOE BROWN,179,28.9
OTHA BROWN,33,15.2
GLENWOOD BROWN,60,48.3
PANAMA AL BROWN,166,36.1
SIMON BROWN,59,57.6
MARCUS BROWNE,24,64
LUCAS BROWNE,31,71.4
FRANK BRUNO,45,84.4
TREVOR BRYAN,20,70
DEREK BRYANT,28,60.7
JOSHUA BUATSI,12,76.9
KEN BUCHANAN,69,39.1
JOE BUGNER,83,49.4
MARTIN EZEQUIEL BULACIO,15,46.7
KHANYILE BULANA,10,60
CORNELIUS BUNDRAGE,42,45.2
MIGUEL BURGOS,2,0
CHARLEY BURLEY,97,51
RICKY BURNS,52,30.8
GENE BURTON,86,14
TAMARA BUSTAMANTE,2,0
LUCIAN BUTE,37,67.6
PAUL BUTLER,33,44.1
STEVEN BUTLER,30,76.7
ALEXIS EMANUEL CABANA,1,0
ALBERTO CABANIG,20,20
DANILO CABRERA,45,55.6
DIEGO SEBASTIAN CABRERA,6,0
ANTHONY CACACE,19,35
ELVIN CACERES RAMIREZ,3,100
FRANCO ANDRES CAJAL,10,20
ENZO CALAFATE,3,66.7
HAROLD CALDERON,8,75
LEROY CALDWELL,64,9.4
RORY CALHOUN,62,33.9
ANDY CALLAHAN,92,28.3
JOE CALZAGHE,46,69.6
IVAN CAMACHO,18,44.4
HECTOR CAMACHO,88,43.2
RICK CAMLIN,42,27.9
MIGUEL ANGEL CAMPANINO,102,33.3
LUIS RAMON CAMPAS,123,64.2
LUKE CAMPBELL,23,66.7
DANNY CAMPBELL,12,75
LEE CANALITO,21,90.5
ANDREW CANCIO,28,55.2
PABLO CESAR CANO,41,53.5
WILMANT CANONICO,8,44.4
VINCENZO CANTATORE,39,69.2
TONY CANZONERI,175,25.1
BLAKE CAPARELLO,34,36.1
RICARDO CARABALLO,2,0
ALEXANDER GIANPIERRE CARDENAS CARRERA,6,83.3
ERNESTO CARDONA SANCHEZ,1,0
PEDRO CARRASCO,111,59.5
ADRIAN CARREON,19,47.4
GARY CARRIERO,23,0
LEONARDO CARRILLO,2,0
