name,bouts,KO %
JONATHAN JOSE HERNANDEZ,6,83.3
GENARO HERNANDEZ,41,41.5
MIGUEL ANGEL HERNANDEZ,20,45
VLADIMIR HERNANDEZ,13,37.5
FREDDY HERNANDEZ,40,48.8
CARLOS HERNANDEZ,76,57.9
EDUARDO HERNANDEZ,33,75.8
DIEGO EZEQUIEL HERNANDEZ,2,0
JAMEL HERRING,23,38.5
HARVEY HESTER,31,45.2
ADOLF HEUSER,127,34.4
DAIGO HIGA,16,93.8
VIRGIL HILL,57,40.4
JAMIE HILT,2,0
HUBERT HILTON,31,38.7
TERRY HINKE,47,62.5
HIROYUKI HISATAKA,42,23.8
DENNIS HOGAN,32,21.9
KEITH HOLMES,46,54.3
LARRY HOLMES,75,58.7
EVANDER HOLYFIELD,56,50.9
LLOYD HONEYGHAN,48,62.5
MAURICE HOOKER,30,56.3
BERNARD HOPKINS,65,47.8
EDDIE HOPSON,32,43.8
JEFF HORN,23,54.2
LONNIE HORN,30,46.7
AL HOSTAK,84,48.8
CHARLES HOSTETTER,28,28.6
AZAT HOVHANNISYAN,21,71.4
NATHAN HOWARD,6,66.7
FILIP HRGOVIC,9,77.8
EVA HRKOTOVA,3,0
ACE HUDKINS,101,24.5
JUSTYN HUGH,14,28.6
MAXI HUGHES,22,8.7
CHARLES HUMEZ,102,45.6
MICHAEL HUNTER,20,60
CALEB HUNTER PLANT,21,52.4
JARRETT HURD,25,64
SHERZOD HUSANOV,21,38.1
MIAN HUSSAIN,12,41.7
GISELA IBANEZ,3,0
FRANCO DAVID IBARRA,2,0
JOSE ISRAEL IBARRA,1,0
FAISAL IBNEL ARRAMI,23,43.5
ASLAMBEK IDIGOV,9,33.3
BEN ILEYEMI,3,33.3
ISMAIL ILIEV,14,21.4
AMIR IMAM,21,76.2
JOHNNY INDRISANO,61,16.4
PAUL INGLE,25,64
NAOYA INOUE,20,85
TAKUMA INOUE,14,21.4
TAKESHI INOUE,14,42.9
IONUT DAN ION,39,46.2
MARTIN IRACE,2,0
IGNACIO DAVID IRIBARREN,5,40
TOMAS FERMIN IRUSTA,4,25
DEREK ISAMAN,16,56.3
SHO ISHIDA,29,46.7
AXEL EMANUEL ISLA,2,0
KANAT ISLAM,26,76.9
MASAYUKI ITO,28,46.4
PETRO IVANOV,9,66.7
RYOSUKE IWASA,30,54.8
DAVID IZON,33,69.7
BADOU JACK,28,44.8
BEAU JACK,119,36.1
LUKE JACKSON,8,50
JULIAN JACKSON,61,80.3
YOUNG PETER JACKSON,80,35.4
PHIL JACKSON,57,65.5
DAVID JACO,50,38
DANIEL JACOBS,39,75
JAMAL JAMES,28,41.4
IZZY JANNAZZO,126,6.3
BRIAN JANSSEN,31,48.4
YURMARY JARAMILLO,1,0
ROGELIO GABRIEL JAVIER,1,0
BEN JEBY,72,30.1
MARVIN JENKINS,28,10.7
CHRIS JENKINS,25,29.6
BRYANT JENNINGS,27,51.9
TERRY JESMER,49,24.5
EDUARDO JIMENEZ,2,0
ULYSSES JIMENEZ,42,16.7
EDER JOFRE,78,64.1
INGEMAR JOHANSSON,28,60.7
CHRIS JOHN,53,43.4
GLEN JOHNSON,76,48.7
ERIC JOHNSON,22,39.1
DUJUAN JOHNSON,24,70.8
HAROLD JOHNSON,87,36.8
CALLUM JOHNSON,19,68.4
TUREANO JOHNSON,24,60
STEVIE JOHNSTON,49,36.7
ISIAH JONES,1,0
BARRY JONES,20,0
TJ JONES,37,29.7
ROY JONES JR,1,0
ROY JONES JR.,75,61.8
ANTHONY JOSHUA,25,88
WILLIE JOYCE,103,15.4
JOE JOYCE,6,85.7
DAVID OLIVER JOYCE,12,61.5
FLOYD JOYNER,45,20
MARIANA JUAREZ,67,26.9
YORSON JUAREZ HERNANDEZ,3,66.7
ZAB JUDAH,52,53.7
PETER JUDSON,37,8.1
BATYRZHAN JUKEMBAYEV,15,66.7
WILSON JULIO,4,25
AGIT KABAYEL,20,61.9
ARISTOTE NTUMBA KABEYA,7,57.1
KABUA KABIKILA,1,0
NAWAPHON KAIKANHA,45,73.9
RADIVOJE KALAJDZIC,26,65.4
KISAKA KALALA,5,0
SUMBU KALAMBAY,64,51.6
AYUB KALULE,50,46
GEORGE KAMBOSOS JNR,17,42.9
TOMOKI KAMEDA,39,51.3
LOUIS 'KID' KAPLAN,164,17
YURY KASHINSKY,19,89.5
FRED KASSI,26,38.5
EGIDIJUS KAVALIAUSKAS,24,75
YOURI KAYEMBRE KALENGA,30,56.7
SIMON KEAN,17,83.3
LUKE KEELER,21,23.8
JOSH KELLY,11,50
MILFORD KEMP,21,23.8
ADRIANA KERI,1,0
MIKKEL KESSLER,49,71.4
AMIR KHAN,39,53.8
GEVORG KHATCHIKIAN,29,41.4
IEVGEN KHYTROV,21,76.2
COCOA KID,243,19.6
YE-JOON KIM,20,45
JOHNNY KING,11,45.5
ARTHUR KING,76,26.3
WLADIMIR KLITSCHKO,69,76.8
VITALI KLITSCHKO,47,87.2
OLJA KLJAJIC,1,0
JOE KNIGHT,133,38.1
YUKI STRONG KOBAYASHI,14,35.7
THEUNIS KOK,19,63.2
ANDY KOLLE,31,58.1
KOHEI KONO,45,28.3
MATT KOROBOV,32,43.8
DAVID KOTEY,52,46.2
KLAUDIA KOVACS,1,0
SERGEY KOVALEV,39,72.5
ADAM KOWNACKI,21,71.4
ROBIN KRASNIQI,55,30.9
SOLLY KRIEGER,113,47.8
JACK KRISS,27,33.3
DMITRY KUDRYASHOV,27,85.2
YUSAKU KUGA,24,52
MAGOMED KURBANOV,17,55.6
KEITA KURIHARA,18,57.9
SERGEY KUZMIN,16,57.9
FIDEL LABARBA,95,16.8
PEDRO LABORDE,3,0
FRED LADD,56,58.9
BILAL LAGGOUNE,27,48.1
BRIAN NICOLAS LAGUNA,11,23.1
ISMAEL LAGUNA,75,49.3
KRISTIAN LAIGHT,206,0
KIRKLAND LAING,56,42.9
MARGIT LAKATOS,1,0
VANJA LAKIC,1,0
LADUMO LAMATI,14,50
JAKE LAMOTTA,106,28.3
CLAUDIA ROSANA LANDAIDA,2,0
RICARDO LANDEROS,3,0
JOSE LANDIN,21,38.1
KENNY LANE,100,19
ERISLANDY LARA,32,46.9
TIPPY LARKIN,153,39
PHIL LASHLEY,56,10.7
BILLY LAUDER,39,7.7
QUINCY LAVALLAIS,1,100
PAT LAWLOR,40,17.5
LEON LAWSON III,1,100
ERIK LEANDER,13,61.5
DENIS LEBEDEV,36,64.9
LUIS LEBRON,3,33.3
NICOLAS LEDESMA,2,0
SCOTT LEDOUX,50,44
ANDY LEE,38,63.2
JOSE LEGRA,148,33.8
KATHARINA LEHNER,1,0
KERMAN LEJARRAGA,33,72.7
DAVID LEMIEUX,45,72.3
ENZO LEMOS,1,0
GUSTAVO ANDRES LEMOS,1,0
ANGELO LEO,19,47.4
WILMER LEON,1,0
BENNY LEONARD,219,32
SUGAR RAY LEONARD,40,62.5
KEVIN LERENA,26,46.2
CLARA LESCURAT,7,42.9
CHUCK LESLIE,50,6
GUS LESNEVICH,79,29.1
EVA LESZKO,1,0
LEO LEVANI,12,46.2
ARTIE LEVINE,72,50
JOHN HENRY LEWIS,111,51.4
TED KID LEWIS,302,26.2
LENNOX LEWIS,44,72.7
NAJIK LEWIS,2,0
ALVIN BLUE LEWIS,36,52.8
RYNO LIEBENBERG,27,48.1
JORGE LINARES,51,56.9
SERGEY LIPINETS,17,63.2
JOE LIPSEY,26,76.9
SONNY LISTON,54,72.2
FREDDIE LITTLE,57,53.4
ALLEN LITZAU,22,31.8
JUAN ANTONIO LLANES,1,100
WAYNE LLEWELLYN,36,61.1
JOSE LLORCA,4,25
CLETO LOCATELLI,161,14.7
NICOLINO LOCCHE,135,10.3
HERVE LOFIDI,3,33.3
JOHN LOFRANCO,14,42.9
ANTHONY LOGAN,23,56.5
DUILIO LOI,126,20.6
VASYL LOMACHENKO,16,62.5
MICHAL LONIEWSKI,1,0
RICARDO LOPEZ,52,73.1
SAMUEL ENRIQUE LOPEZ,2,0
ADAM BENITO LOPEZ,1,0
MELVIN LOPEZ,1,0
JOSE LUIS LOPEZ,58,67.2
MARCELINO NICOLAS LOPEZ,33,48.5
JOSESITO LOPEZ,45,42.6
TEOFIMO LOPEZ,15,68.8
YAQUI LOPEZ,76,51.3
ALDANA FLORENCIA LOPEZ,4,0
LEANDRO FABIAN LOPEZ,6,33.3
NESTOR LOPEZ CABALLERO,7,14.3
JULIEN LORCY,62,64.5
BRENDA DANIELA LORENZO,3,0
TOMMY LOUGHRAN,168,8.3
JOE LOUIS,69,75.4
J'LEON LOVE,28,44.8
ISAAC LOWE,22,27.3
CARLOS LOYA,24,29.2
MAYRA DAYANA LOYOLA,2,0
LESTER LOZANO TAFUR,12,50
ERICKSON LUBIN,23,66.7
ISAAC DAVID LUCERO,1,100
WILLIE LUDICK,43,41.9
ALAN EZEQUIEL LUGO,3,0
CRISTIAN LUIS,2,0
NYAKWA LUKOMBO,1,0
ROLANDO LUNA IZONTLE,1,0
ALEXIS LUTTI,2,0
IVAN LYSYTSIA,1,0
BERT LYTELL,101,23.5
ENZO MACCARINELLI,49,67.3
ALBERTO MACHADO,23,73.9
EDDIE MACHEN,64,45.3
ALEXIS MACIAS,14,50
YUSAF MACK,41,41.5
WALLACE MAGALHAES DOS SANTOS,1,0
DIEGO MAGDALENO,34,38.2
JESSIE MAGDALENO,28,62.1
MARK MAGSAYO,9,63.6
SARAH MAHFOUD,11,27.3
MARCOS RENE MAIDANA,40,77.5
ARIEL OSMAR MAIDANA,3,0
MARTIN MAKABU,6,66.7
ILUNGA MAKABU,29,75
ARSLANBEK MAKHMUDOV,2,100
KRISZTINA MAKRA,1,0
G.G. MALDONADO,22,13.6
RONALD MALINDI,13,53.8
JIM MALONEY,15,20
NEIL MALPASS,48,37.5
SAMMY MANDELL,189,16.8
ARTUR MANN,15,37.5
ERNESTO MARCEL,46,50
ROCKY MARCIANO,49,87.8
MARIA NIEVES MARCONE,4,0
BERNARDO MARECO,3,33.3
ABNER MARES,35,42.9
ANTONIO MARGARITO,48,54
AGUSTIN MARINI,1,100
LUIS ALEJANDRO MARIO,1,0
BILLY MARQUART,18,11.1
RAFAEL MARQUEZ,50,74
GUIDO MARQUEZ,2,0
JUAN MANUEL MARQUEZ,64,62.5
CLAUDIO MARRERO,28,60.7
MIGUEL MARRIAGA,33,73.5
TERRY MARSH,27,37
LLOYD MARSHALL,99,36.4
CHARLES MARTIN,31,75
EDINSON MARTINEZ,2,50
VINCE MARTINEZ,77,46.8
FERNANDO DANIEL MARTINEZ,11,58.3
MARIO MARTINEZ,62,50
SERGIO GABRIEL MARTINEZ,57,50.9
PEDRO MARTINEZ,11,18.2
AGNALDO VALERIO MARTINS,1,100
VANES MARTIROSYAN,41,51.2
OLEG MASKAEV,46,60.9
HENRY MASKE,32,34.4
MASELINO MASOE,36,77.8
MATEUSZ MASTERNAK,46,60.9
LUIS MATEO,28,37.9
FRANCISCO MATEOS,36,30.6
BUSTER MATHIS,34,61.8
SUBRIEL MATIAS,15,100
DANKA MATIJASEVIC,1,0
RYO MATSUMOTO,22,81.8
HIRONOBU MATSUNAGA,16,50
HARRY MATTHEWS,102,58.3
LUCAS MARTIN MATTHYSSE,44,80
THOMAS MATTICE,1,100
ROCKY MATTIOLI,73,69.9
MAREK MATYJA,10,27.3
TAMI MAURIELLO,96,62.5
JOEY MAXIM,115,18.3
BERNARD MAYS,28,53.6
FLOYD MAYWEATHER JR,50,52.9
MARIA AMALIA MAZZARELLO,4,25
SANDRO MAZZINGHI,67,60.9
FISTON MBAYA,2,0
THULANI MBENGE,15,73.3
CHRISTIAN MBILLI,13,92.3
PAT MCATEER,57,42.1
JOCK MCAVOY,147,59.9
KEVIN MCBRIDE,46,63
BRIAN MCCAFFREY,27,63
MIKE MCCALLUM,55,65.5
TOMMY MCCARTHY,6,50
JAMEEL MCCLINE,57,42.1
SEAN MCCOMB,2,50
FRANK MCCORD,56,19.6
RALPH MCCOY,23,60.9
AL MCCOY,80,26.3
SHAUN MCCRORY,20,10
STAN MCDERMOTT,20,55
JAMIE MCDONNELL,34,37.1
GAVIN MCDONNELL,26,23.1
PACKEY MCFARLAND,113,44.2
JAMES MCGIRT,80,60
GRAHAM MCGRATH,112,1.8
DERRICK MCGUIRE,33,21.2
GEORGE MCGURK,63,15.9
BRIGHTON MCHENI,1,0
THABISO MCHUNU,28,48.3
VERNON MCINTOSH,38,34.2
TYRONE MCKENNA,23,29.2
MICHAEL MCKINSON,18,11.1
JIMMY MCLARNIN,69,30.4
MARLON MCMILLAN,6,16.7
KSENIJA MEDIC,17,0
KALI MEEHAN,48,66.7
MARIA MELASHCHENKO,1,0
BEKTEMIR MELIKUZIEV,1,50
YAGO JUAN CRUZ MELLADO,1,0
MALCOLM MELVIN,39,10.3
RICARDO MENDES MUNIZ DE LIMA,1,0
ARGENIS MENDEZ,33,34.3
SOFÍA DAIANA MENDEZ,3,0
JESUS JAVIER MENDOZA,1,0
YVAN MENDY,49,42
JOHN MERCHAN,2,0
RYAD MERHY,30,80
MARIE HELENE MERON,7,28.6
AELIO MESQUITA,24,70.8
JAMES METCALF,20,57.1
JENNIFER SABRINA MEZA,8,25
FRANCO IVAN MEZA,2,0
NKOSANA MGXAJI,101,26.5
DARIUSZ MICHALCZEWSKI,50,76
SERGIO GASTON MICHELUCCI,1,0
LADISLAO MIJANGOS,45,42.2
IGOR MIKHALKIN,25,40
DALE MILES,17,58.8
LADARIUS MILLER,6,16.7
EDDIE MILLER,95,32
FREDDIE MILLER,252,17.8
JARRELL MILLER,24,83.3
MICK MILLS,48,47.9
FREDDIE MILLS,100,54
MOHAMED MIMOUNE,26,11.5
MAURO MINA,58,43.1
LUIGI MINCHILLO,60,51.7
RODRIGO MANUEL MINO,1,0
CRISTIAN RUBEN MINO,30,60
EDISON MIRANDA,46,67.4
SABINA MISHCHENKO,6,0
BILLY MISKE,104,32.4
CAMILA GISELLA MISTROVICH,1,0
JAYDE MITCHELL,19,52.6
IRVING MITCHELL,48,43.8
TIBERIO MITRI,101,21.8
SYLVESTER MITTEE,33,66.7
ARV MITTOO,100,4
NADJIB MOHAMMEDI,47,51.1
JAVIER MOLINA,24,37.5
JOHN MOLINA,39,61.5
JOHN JOHN MOLINA,59,55.9
ERIC MOLINA,33,57.6
CARLOS MOLINA,40,19.5
JASON MOLONEY,23,75
ANDREW MOLONEY,20,65
WILLIE MONROE JR,27,22.2
CARLOS MONROE JR,1,0
PEDRO MONTANEZ,103,48.5
GUILLERMO MONTERO,1,0
BOB MONTGOMERY,97,38.1
CARLOS MONZON,99,58
CHAYAPHON MOONSRI,53,32.7
DAVEY MOORE,67,44.1
ARCHIE MOORE,218,59.8
ERIK MORALES,61,59
ROBERTO MORAN,56,25
ANTONIO MORAN,27,55.6
LC MORGAN,129,45
OSVARY DAVID MORRELL,1,100
LEONARD MORROW,38,47.4
SHANE MOSLEY,60,67.2
MANUEL MOSQUEDA,11,9.1
DENNY MOYER,139,17.9
JELENA MRDJENOVICH,49,38.8
MATTHEW SAAD MUHAMMAD,68,51.5
EDDIE MUSTAFA MUHAMMAD,60,66.7
WALI MUHAMMAD,17,47.1
ANTHONY MUNDINE,58,48.3
EMANUEL MUNEZ,4,25
JAIME MUNGUIA,35,80
RUBEN NESTOR NERI MUNOZ,7,71.4
RYOTA MURATA,18,72.2
ELVIR MURIQI,47,51.1
BOB MURPHY,78,71.8
SEAN MURPHY,27,51.9
JIM MURRAY,40,46.3
BAKHRAM MURTAZALIEV,17,72.2
NKAPEMA MUTSHI,2,50
HASSAN MWAKINYO,18,61.1
DMYTRO MYTROFANOV,1,100
DAISHI NAGATA,15,31.3
RIKKI NAITO,21,28.6
MASAYOSHI NAKATANI,18,61.1
JEREMIA NAKATHILA,18,72.2
JOSE NAPOLES,88,61.4
OCTAVIO NARVAEZ,21,19
OMAR ANDRES NARVAEZ,55,45.5
ESTEBAN NAVAJA,3,0
EMMANUEL NAVARRETE,32,79.4
OSCAR NEGRETE,23,29.2
ALIANA NEIBAUERE,2,0
TONY NELSON,20,50
JOHNNY NELSON,59,49.2
AZUMAH NELSON,47,59.6
LUIS NERY,30,75
PHANNARAI NETISRI,5,40
MIKE NEVITT,17,35.3
DINO NEWVILLE,14,28.6
YVES NGABU,21,66.7
KIKALA NGIYO,1,0
DOUDOU NGUMBU,48,29.2
TRESOR NGUNDI,1,0
DEMOND NICHOLSON,27,74.1
PATRICK NIELSEN,33,42.4
ROB NIEUWENHUIZEN,6,66.7
EZEQUIEL NIEVA,2,0
DARIO RUBEN NIEVA,3,33.3
ANTONIO NIEVES,11,36.4
JOSE NIEVES,3,0
ANA NIKOLIC,1,0
BRIAN NIX,30,10
RUDY NIX,26,64.3
AYANDA NKOSI,11,54.5
YUKI NONAKA,45,22.2
HURSHIDBEK NORMATOV,9,33.3
TERRY NORRIS,56,55.4
FREDDIE NORWOOD,48,47.9
ABRAHAM NOVA,2,100
JOE NOYNAY,19,26.3
MILTON NUNEZ,44,57.8
MICHAEL NUNN,62,59.7
LUCAS EZEQUIEL FERNANDO NUNO,1,0
TUGSTSOGT NYAMBAYAR,12,75
DENNIS OAKES,6,50
KEITA OBARA,26,76.9
MATIAS GASTON OBREGON,2,0
LARA OCHMANN,4,50
KENICHI OGAWA,26,64.3
ANTHONY OGOGO,7,57.1
YUKINORI OGUNI,24,33.3
TAKENORI OHASHI,23,47.8
LAWRENCE OKOLIE,14,68.8
MICHAEL OLAJIDE,32,59.4
CARLOS PATRICIO OLCESE,1,100
FRANCISCO GABRIEL OLGUIN,4,100
BRUNO OLIVA,4,25
RUBEN OLIVARES,105,75.2
RICARDO OLIVEIRA CRUZ,1,100
ADRIAN NICOLAS OLIVERA,2,0
BOBO OLSON,115,40
SHOHEI OMORI,24,64
THOMAS OOSTHUIZEN,33,48.5
CHRIS ORGANTINI,12,50
PETER ORLIK,21,4.8
ANTONIO OROZCO,30,54.8
YOBER ORTEGA,44,54.5
PEDRO ORTEGA,46,43.5
MARTIN ORTEGON,19,57.9
VICTOR ORTIZ,39,59
JAMAINE ORTIZ,14,57.1
CARLOS ORTIZ,70,42.9
MANUEL ORTIZ,131,41.2
LUIS ORTIZ,33,72.2
VERGIL ORTIZ JR,3,100
JHIMY ORTUNO GARCIA,1,0
HUSSAIN OSMAN,31,19.4
SVEN OTTKE,34,17.6
NORDINE OUBAALI,17,63.2
KEN OVERLIN,163,13.9
NORBERTO ORLANDO OYOLA,5,0
NAIARA TATIANA PACHECO,3,0
MANNY PACQUIAO,71,54.9
JORGE PAEZ,97,53.1
ALBERT PAGARA,34,70.6
GREG PAGE,76,63.2
ZACK PAGE,67,10.4
HARRY PAINTER,28,10.7
RUBEN DARIO PALACIOS,58,32.8
EZEQUIEL PALAVERSIC,6,33.3
AMBROSE PALMER,66,34.8
LITTLE PANCHO,147,12.8
AUGIE PANTELLAS,34,58.8
ALEKSEI PAPIN,13,84.6
LASZLO PAPP,29,51.7
ELIAS EMANUEL PAREDES,8,25
JOSEPH PARKER,29,72.4
LIAM PARO,13,76.9
ROBERT PARZECZEWSKI,25,59.3
JEAN PASCAL,42,46.5
RON PASEK,35,20
VIC PASILLAS,11,36.4
MILTON IVAN PASQUINI,2,0
BOB PASTOR,65,26.2
JOANA PASTRANA,18,26.3
WILLIE PASTRANO,83,16.9
FRANCESCO PATERA,24,28
VIC PATRICK,57,78.9
FLOYD PATTERSON,64,62.5
LARRY PAUL,40,40
KELLY PAVLIK,42,81
JUAN CARLOS PAYANO,24,37.5
JOSE CARLOS PAZ,35,37.1
JOSE PEDRAZA,31,41.9
EUSEBIO PEDROZA,48,51
NAZARENO PENA,2,0
PAUL PENDER,48,41.7
WILLIE PEP,241,27
YAMIL ALBERTO PERALTA,13,46.2
GABRIEL ALEXANDER PERALTA AREVALO,5,40
CRISTIAN PEREIRA,4,0
ADRIANO DORTAS PEREIRA SANTOS,1,0
DIEGO EMANUEL PERELLO,2,0
URIEL PEREZ,18,66.7
ROSA PEREZ,2,0
HERNAN DAVID PEREZ,13,23.1
LUCIA NOELIA PEREZ,1,100
MIKE PEREZ,28,51.7
CRISTIAN GONZALO PEREZ SOTO,1,0
EDDIE PERKINS,97,21.4
LENIER EUNICE PERO,4,75
BRYANT PERRELLA,20,70
IGNACIO PERRIN,11,9.1
MIODRAG PERUNOVIC,30,23.3
SAMUEL PETER,46,65.2
LAMONT PETERSON,41,41.5
BILLY PETROLLE,164,40
KOSTAS PETROU,37,32.4
KATELYNN PHELAN,5,20
VINCE PHILLIPS,61,55.7
VERNO PHILLIPS,54,38.2
MICHELE PICCIRILLO,55,51.8
SALVADOR PICCOLO,3,33.3
ENRIQUE PINDER,44,29.5
VICTOIRE PITEAU,1,100
MICHAEL ANGELO PLANIA,3,0
ROHAN POLANCO,5,40
YOLANDE POMPEY,55,47.3
JEREMIAS NICOLAS PONCE,29,65.5
MISAEL PONCE GALAZ,1,0
MARINA POPOVA,7,0
SHAWN PORTER,34,48.6
ALDRI ALEXANDER PORTILLO,1,0
JACK PORTNEY,127,19.5
JOSE ANGEL POSADA,1,0
VIKTOR POSTOL,34,35.3
NIKOLAY POTAPOV,21,40.9
ALEXANDER POVETKIN,39,62.5
JASOND PRADO,1,0
DILAN PRASOVIC,4,75
DAVID PRICE,30,63.3
PAT PRISCO,27,18.5
REGIS PROGRAIS,25,76.9
RUSLAN PROVODNIKOV,30,60
ADOLPH PRUITT,58,51.7
AARON PRYOR,40,87.5
LEONARDO PUCHETA,3,0
ALANDO PUGH,4,20
GENE PUKALL,34,47.1
KUBRAT PULEV,30,46.7
RICHARD PUMICPIC,30,20
ROSS PURITTY,54,50
DWIGHT MUHAMMAD QAWI,53,47.2
NOEL QUARLESS,31,35.5
IKE QUARTEY,43,74.4
SCOTT QUIGG,40,65
JASON QUIGLEY,18,72.2
PETER QUILLIN,37,59
RENOLD QUINLAN,15,37.5
GISELA NOELIA QUINTANILLA,4,0
FERNANDO EMANUEL QUINTEROS,1,0
DANIEL QUISPE,1,0
JOSE ARIEL QUISPE,3,0
JORGE LUIS QUISPE RODRIGUEZ,2,0
NIKOLETTA RAFAEL,1,0
NIGEL RAFFERTY,104,1
RODRIGO SEBASTIAN RAJOY,1,0
SHAVKAT RAKHIMOV,14,73.3
WESLEY RAMEY,194,5.7
WALTER MIGUEL RAMIREZ,1,0
CESAR RAMIREZ,12,23.1
JOSE CARLOS RAMIREZ,26,65.4
MATIAS RAMON RAMIREZ,3,66.7
EDUARDO RAMIREZ,27,28.6
GILBERTO RAMIREZ SANCHEZ,40,63.4
JHUNRIEL RAMONAL,27,33.3
ABEL RAMOS,30,63.3
SUGAR RAMOS,66,60.6
EMANUEL RAMPONI,3,0
DAVE RAMSDEN,43,14
FRANKIE RANDALL,77,54.5
ISAAC CLAY ISRAEL RANGEL,1,0
ELMER RAY,107,59.3
MARIJA RAZNATOVIC,1,0
ALEXIS EMANUEL REBOZZIO,1,0
MAXIMILIANO JESUS RECALDE,4,25
JERRY REDDICK,22,54.5
CAROLYN REDMOND,1,0
ERIC REGAN,31,58.1
CRISTIAN ARIEL REGGIARDO,4,25
ROBIN REID,51,56.9
KIRILL RELIKH,26,73.1
JOSE RESTO,93,6.5
RAFAEL REYES,20,55
JUAN REYES,17,5.9
TOBIAS JEREMIAS REYES,6,83.3
RENO BINS REYES,11,27.3
MANUEL ALEJANDRO REYES,6,16.7
JOSE RIBALTA,56,48.2
BANDSMAN DICK RICE,43,13.6
RON RICHARDS,130,43.5
GUILLERMO RIGONDEAUX,21,56.5
GIULIO RINALDI,65,19.4
RONNY RIOS,34,44.1
PABLO RIOS,3,0
BRIAN CELSO DANIEL RIOS,1,0
NELSON EDGARDO RIOS,2,0
ROSANA RIQUELME GALEANO,1,0
LEWIS RITSON,20,45.5
OSCAR RIVAS,27,66.7
DAVID RIVELLO,16,25
JOSE LUIS RIVERA,24,53.8
JEAN CARLOS RIVERA,3,33.3
MICHEL RIVERA,15,68.8
JANIEL RIVERA,17,41.2
ALBERTO RIVERO,6,16.7
LAMONT ROACH JR,21,33.3
RAY ROBINSON,29,41.4
SUGAR RAY ROBINSON,200,54.5
MAXIMILIANO HERNAN ROBLEDO,2,0
TOMAS BAUTISTA ROBLEDO,1,0
MANNY ROBLES,9,44.4
RUDY ROBLES,66,25.8
SERGIO MATIAS ROCHA,1,0
ERNIE RODERICK,140,32.1
RAUL RODRIGUEZ,82,39.8
EDWIN RODRIGUEZ,9,40
DAIANA RODRIGUEZ,2,0
RONALD ALEXANDER RODRIGUEZ,1,0
EMMANUEL RODRIGUEZ,20,54.5
LUIS MANUEL RODRIGUEZ,120,40.5
JOSE RODRIGUEZ JR,1,100
JESUS M ROJAS,32,60.6
MANUEL REY ROJAS,12,16.7
MARCELO DAMIAN ROJAS,1,0
TOMAS ROJAS,71,47.2
HUGO ALBERTO ROLDAN,19,36.8
LUIS ROLON,24,50
DANIEL ROMAN,31,31.3
MIGUEL ROMAN,75,62.7
EVGENY ROMANOV,12,66.7
STEVE ROMERO,26,53.8
VALENTÍN RODRIGO ROMERO,1,0
GUIDO JOEL ROMERO,4,0
ROLANDO FLORENCIO ROMERO,6,83.3
ENZO LEONARDO ALEXANDER ROMERO,1,0
FRANK ROPIS,52,34.6
JOSE ANGEL GABRIEL ROSA,15,80
LUIS ROSADO,35,57.1
GABRIEL ROSADO,38,34.1
JORGE ROSALES,62,38.1
JEISON ROSARIO,20,52.4
BRIAN ROSE,31,24.2
RUSTY ROSENBERGER,28,34.5
MAXIE ROSENBLOOM,296,6.4
GIANFRANCO ROSI,69,25.7
RENZ ROSIA,15,26.7
BARNEY ROSS,81,27.2
DERRIC ROSSY,43,32.6
GUSTAVE ROTH,136,18.2
MICK ROWLEY,25,28
DONOVAN RUDDOCK,46,65.2
RAFAEL RUELAS,57,73.7
MOISES RUFINO,2,0
MAXIMO ANTONIO RUGAMA CERDAS,3,100
JOHN RUIZ,54,54.5
JOSE RUIZ,26,34.6
CLAUDIA VERONICA RUIZ,2,0
RODRIGO FABIAN RUIZ,11,81.8
RUBEN RUIZ,60,13.3
ANDY RUIZ JR,35,62.9
GARY RUSSELL JR,32,56.3
JOHN RYDER,33,48.5
SILVIO MAURICIO SABATTINO,6,16.7
MIKE SACCHETTI,26,15.4
JOHNNY SACCO,17,23.5
SANDY SADDLER,162,63.6
KEVIN LELE SADJO,15,93.3
LEO SAENZ,40,45
VEERAPHOL SAHAPROM,72,63.9
JAMA SAIDI,17,33.3
YUTA SAITO,25,36
PEDRO SAIZ,37,43.2
KOSUKE SAKA,23,60
UMAR SALAMOV,26,73.1
RICHARD SALAZAR,21,33.3
VICENTE SALDIVAR,40,65
FARUQ SALEEM,39,82.1
MARIQUENA SALOME SALEGA,2,0
TOMAS RICARDO SALGADO,2,50
ORLANDO SALIDO,61,47.6
SLOOM SALUMU,1,0
EXEQUIEL SANCHEZ,4,0
CARLOS AUGUSTO SANCHEZ,1,0
ENRIQUE SANCHEZ,76,51.3
FERNANDO SANCHEZ,1,0
ORIANA GRACIELA NICOLE SANCHEZ,4,0
EMILIO SANCHEZ,19,57.9
FRANK SANCHEZ,15,68.8
SALVADOR SANCHEZ,46,69.6
ANDREA SOLEDAD SANCHEZ,13,15.4
CRISTIAN SANCHEZ CALDERON,1,0
FERNANDO JOSE SANCHEZ SULZER,1,0
AL SANDS,18,72.2
DAVE SANDS,98,52
LEO SANTA CRUZ,40,47.5
EDWIN SANTANA,38,18.4
TONY SANTANA,23,47.8
ALEJANDRO SANTIAGO,25,32
ALFREDO SANTIAGO,13,23.1
GIOVANNI SANTILLAN,25,60
DIEGO RICARDO SANTILLAN,26,57.7
HUGO ALFREDO SANTILLAN JR,26,30.8
PETEY SARRON,153,16.3
